code,description,unit,qty,allowance,rate,amount
P20/200,Flow Controller – M_Backflow Preventer_ DCW to Hydronic Supply_15-50 mm_:25 mm:25 mm:591225,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Backflow Preventer_ DCW to Hydronic Supply_15-50 mm_:25 mm:25 mm:593194,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Backflow Preventer_ DCW to Hydronic Supply_15-50 mm_:25 mm:25 mm:593973,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Backflow Preventer_ DCW to Hydronic Supply_15-50 mm_:25 mm:25 mm:594130,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Ball Valve - 50-150 mm:50 mm:50 mm:578433,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Ball Valve - 50-150 mm:50 mm:50 mm:578607,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Ball Valve - 50-150 mm:50 mm:50 mm:579237,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Ball Valve - 50-150 mm:50 mm:50 mm:579260,piece,2.0,0.0,25.0,50.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:545367,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:546380,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:546395,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:546904,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:547147,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:548141,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:548144,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:549664,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:549727,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:549943,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:550034,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:550083,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:550223,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:550225,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557546,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557547,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557551,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557554,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557556,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557558,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557565,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557572,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557618,piece,2.0,0.0,4.0,8.0
P20/300,Flow Fitting – M_Elbow - Generic:Standard:Standard:557619,piece,2.0,0.0,4.0,8.0
