code,description,unit,qty,allowance,rate,amount
A20/120,Appliance – Range – M_Range:760 x 650mm:760 x 650mm:575492,piece,1.0,0.0,0.0,0.0
A20/120,Appliance – Range – M_Range:760 x 650mm:760 x 650mm:575493,piece,1.0,0.0,0.0,0.0
A20/110,Appliance – Refrigerator – M_Refrigerator:850 x 760mm:850 x 760mm:575374,piece,1.0,0.0,0.0,0.0
A20/110,Appliance – Refrigerator – M_Refrigerator:850 x 760mm:850 x 760mm:575375,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575405,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575406,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575407,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575409,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575410,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575419,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575422,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575424,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575425,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575426,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575428,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575430,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575432,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575434,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575435,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575436,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575438,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575439,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575440,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575441,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575442,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575444,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575445,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575446,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575448,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575449,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575451,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575454,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575456,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575460,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575462,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575464,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575466,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575468,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575469,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575470,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575471,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575473,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575475,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575476,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575477,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575494,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:575495,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:606293,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:606323,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:615696,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Duplex Receptacle:Duplex Receptacle:Duplex Receptacle:615756,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Microwave:760 x 400 x 450mm:760 x 400 x 450mm:615600,piece,1.0,0.0,0.0,0.0
nan,Distribution Element – M_Microwave:760 x 400 x 450mm:760 x 400 x 450mm:615603,piece,1.0,0.0,0.0,0.0
P20/200,Flow Controller – M_Lighting and Appliance Panelboard - 208V MLO:400 A:Unit A Panelboard:575479,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Lighting and Appliance Panelboard - 208V MLO:400 A:Unit B Panelboard:575481,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610280,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610319,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610426,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610469,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610482,piece,2.0,0.0,25.0,50.0
P20/200,Flow Controller – M_Smoke Detector:Smoke Detector:Smoke Detector:610550,piece,2.0,0.0,25.0,50.0
nan,IfcEnergyConversionDevice – M_Hot Water Boiler - 59-440 kW:147 kW:147 kW:530072,piece,1.0,0.0,0.0,0.0
nan,IfcEnergyConversionDevice – M_Hot Water Boiler - 59-440 kW:147 kW:147 kW:557516,piece,1.0,0.0,0.0,0.0
nan,IfcFlowMovingDevice – M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602113,piece,1.0,0.0,0.0,0.0
nan,IfcFlowMovingDevice – M_Centrifugal Fan -  Rooftop  - Upblast:991-1905 LPS:991-1905 LPS:602396,piece,1.0,0.0,0.0,0.0
nan,IfcFlowMovingDevice – M_Inline Pump - Circulator:3.9 LPS - 0.8 Meter Head:3.9 LPS - 0.8 Meter Head:550094,piece,1.0,0.0,0.0,0.0
nan,IfcFlowMovingDevice – M_Inline Pump - Circulator:3.9 LPS - 0.8 Meter Head:3.9 LPS - 0.8 Meter Head:580717,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575392,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575394,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575396,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575398,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575400,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575402,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575478,piece,1.0,0.0,0.0,0.0
L10/210,Light – M_Lighting Switches:Single Pole:Single Pole:575483,piece,1.0,0.0,0.0,0.0
